"","Package","Version"
"rmarkdown","rmarkdown","2.25"
"ROCR","ROCR","1.0-11"
"roxygen2","roxygen2","7.3.2"
"rpart","rpart","4.1.23"
"rprojroot","rprojroot","2.0.4"
"RSQLite","RSQLite","2.3.7"
"rstudioapi","rstudioapi","0.15.0"
"rvest","rvest","1.0.3"
"s2","s2","1.1.6"
"sass","sass","0.4.7"
"scales","scales","1.3.0"
"selectr","selectr","0.4-2"
"shape","shape","1.4.6.1"
"shiny","shiny","1.7.5.1"
"sourcetools","sourcetools","0.1.7-1"
"sp","sp","2.1-3"
"spatial","spatial","7.3-17"
"spData","spData","2.3.3"
"splines","splines","4.3.3"
"SQUAREM","SQUAREM","2021.1"
"stats","stats","4.3.3"
"stats4","stats4","4.3.3"
"stringi","stringi","1.8.4"
"stringr","stringr","1.5.1"
"survival","survival","3.7-0"
"sys","sys","3.4.2"
"systemfonts","systemfonts","1.0.5"
"tcltk","tcltk","4.3.3"
"testthat","testthat","3.2.1.1"
"textshaping","textshaping","0.3.7"
"tibble","tibble","3.2.1"
"tidyr","tidyr","1.3.1"
"tidyselect","tidyselect","1.2.1"
"tidyverse","tidyverse","2.0.0"
"tiff","tiff","0.1-11"
"timechange","timechange","0.3.0"
"timeDate","timeDate","4041.110"
"tinytex","tinytex","0.48"
"tools","tools","4.3.3"
"TTR","TTR","0.24.3"
"tzdb","tzdb","0.4.0"
"utf8","utf8","1.2.4"
"utils","utils","4.3.3"
"uuid","uuid","1.1-1"
"vctrs","vctrs","0.6.5"
"viridisLite","viridisLite","0.4.2"
"vroom","vroom","1.6.5"
"waldo","waldo","0.6.1"
"withr","withr","3.0.1"
"wk","wk","0.9.1"
"xfun","xfun","0.40"
"xgboost","xgboost","1.7.8.1"
"XML","XML","3.99-0.17"
"xml2","xml2","1.3.6"
"xtable","xtable","1.8-4"
"xts","xts","0.13.1"
"yaml","yaml","2.3.10"
"zoo","zoo","1.8-12"
